Column1;Column10;SAMPLE TEXT 1

GBC_NPC_INSPECTORVICTORY_039_F;;SAMPLE TEXT 2369

GBC_NPC_INSPECTORVICTORY_006_M;[t:0.5]As I mentioned,[w:0.3] I am a mere inspector.[w:0.3] Not an engineer,[w:0.3] not a designer.;SAMPLE TEXT 2370

GBC_NPC_INSPECTORVICTORY_006_F;;SAMPLE TEXT 2371

GBC_NPC_INSPECTORVICTORY_220_M;[t:0.5]I cannot send new bots down the line.[w:0.3] But I...[w:0.3] I can send myself.;SAMPLE TEXT 2372

GBC_NPC_INSPECTORVICTORY_220_F;;SAMPLE TEXT 2373

GBC_NPC_INSPECTORVICTORY_002_M;[t:0.5]I am proud to have served P03 faithfully.[w:0.3] Well met,[w:0.3] stranger.;SAMPLE TEXT 2374

GBC_NPC_INSPECTORVICTORY_002_F;[t:0.5]I am proud to have served P03 faithfully.[w:0.3] Well met,[w:0.3] stranger.;SAMPLE TEXT 2375

GBC_NPC_SMELTERGREETING_659_M;[t:0.5][e:Surprise][c:R]LET ME OUT[shake:1][end];SAMPLE TEXT 2376

GBC_NPC_SMELTERGREETING_659_F;;SAMPLE TEXT 2377

GBC_NPC_SMELTERGREETING_468_M;HA[w:0.2] HA[w:0.3] HAAAA[w:0.2]A[w:0.2]A[w:0.4]a...[w:0.4] What was that?;SAMPLE TEXT 2378

GBC_NPC_SMELTERGREETING_468_F;;SAMPLE TEXT 2379

GBC_NPC_SMELTERGREETING_537_M;We are-[w:0.3][shake:0.8] I[w:0.3] am The Melter.[w:0.3] They send me raw materials and[w:0.3] I-[w:0.3] well,[w:0.2] you can see how it works.;SAMPLE TEXT 2380

GBC_NPC_SMELTERGREETING_537_F;;SAMPLE TEXT 2381

GBC_NPC_SMELTERGREETING_781_M;Not another[w:0.3] WORD[w:0.3] out of you![w:0.3] We[w:0.3][shake:0.8] must[w:0.2] have a card battle.;SAMPLE TEXT 2382

GBC_NPC_SMELTERGREETING_781_F;;SAMPLE TEXT 2383

GBC_NPC_SMELTERGREETING_REPEAT_#1_304_M;[t:0.5][e:Surprise][c:R]LET ME O-[shake:1][end];SAMPLE TEXT 2384

GBC_NPC_SMELTERGREETING_REPEAT_#1_304_F;;SAMPLE TEXT 2385

GBC_NPC_SMELTERGREETING_REPEAT_#1_932_M;Yes,[w:0.3] yes,[w:0.3] again!;SAMPLE TEXT 2386

GBC_NPC_SMELTERGREETING_REPEAT_#1_932_F;;SAMPLE TEXT 2387

GBC_NPC_SMELTERGREETING_REPEAT_#2_325_M;Are we almost done?[w:0.3] You'll keep trying?;SAMPLE TEXT 2388

GBC_NPC_SMELTERGREETING_REPEAT_#2_325_F;;SAMPLE TEXT 2389

GBC_NPC_SMELTERGREETING_REPEAT_#2_084_M;Yes,[w:0.3] very well.;SAMPLE TEXT 2390

GBC_NPC_SMELTERGREETING_REPEAT_#2_084_F;;SAMPLE TEXT 2391

GBC_NPC_SMELTERDEFEAT_969_M;[t:0.5][e:Surprise][c:R]HELP M[shake:1][end];SAMPLE TEXT 2392

GBC_NPC_SMELTERDEFEAT_969_F;;SAMPLE TEXT 2393

GBC_NPC_SMELTERDEFEAT_080_M;Oh,[w:0.3] too bad![w:0.3] You lost!;SAMPLE TEXT 2394

GBC_NPC_SMELTERDEFEAT_080_F;;SAMPLE TEXT 2395

GBC_NPC_SMELTERDEFEAT_050_M;[t:0.5][e:Surprise][c:R]PLEASE HELP[shake:1][end];SAMPLE TEXT 2396

GBC_NPC_SMELTERDEFEAT_050_F;;SAMPLE TEXT 2397

GBC_NPC_SMELTERDEFEAT_112_M;Now please,[w:0.3] leave us-[w:0.2] leave [w:0.2][shake:0.8]me[w:0.3] to my work.;SAMPLE TEXT 2398

GBC_NPC_SMELTERDEFEAT_112_F;;SAMPLE TEXT 2399

GBC_NPC_SMELTERDEFEAT_REPEAT_#1_884_M;Too bad,[w:0.3] so sad.[w:0.3] Off with you now.;SAMPLE TEXT 2400

GBC_NPC_SMELTERDEFEAT_REPEAT_#1_884_F;;SAMPLE TEXT 2401

GBC_NPC_SMELTERDEFEAT_REPEAT_#2_068_M;Off with you now.;SAMPLE TEXT 2402

GBC_NPC_SMELTERDEFEAT_REPEAT_#2_068_F;;SAMPLE TEXT 2403

GBC_NPC_SMELTERDEFEAT_REPEAT_#2_441_M;I have work to attend to.;SAMPLE TEXT 2404

GBC_NPC_SMELTERDEFEAT_REPEAT_#2_441_F;;SAMPLE TEXT 2405

GBC_NPC_SMELTERVICTORY_933_M;[t:0.5][e:Surprise][c:R]HELP ME[shake:1][end];SAMPLE TEXT 2406

GBC_NPC_SMELTERVICTORY_933_F;;SAMPLE TEXT 2407

GBC_NPC_SMELTERVICTORY_934_M;Excellent battle.[w:0.3] Now,[w:0.2] with that aside,[w:0.3] what did you come to tell me?;SAMPLE TEXT 2408

GBC_NPC_SMELTERVICTORY_934_F;;SAMPLE TEXT 2409

GBC_NPC_SMELTERVICTORY_619_M;P03 wishes for better bots for his scanner...[w:0.3] That is difficult.[w:0.3] You see...[w:0.3] I melt the metal.[w:0.3] But I cannot reprogram the stamping machine.;SAMPLE TEXT 2410

GBC_NPC_SMELTERVICTORY_619_F;;SAMPLE TEXT 2411

GBC_NPC_SMELTERVICTORY_859_M;[t:0.5][e:Surprise][c:R]NO[shake:1][end];SAMPLE TEXT 2412

GBC_NPC_SMELTERVICTORY_859_F;;SAMPLE TEXT 2413

GBC_NPC_SMELTERVICTORY_808_M;...[w:0.3]there is a way to send at least[w:0.3][shake:0.8] one[w:0.3] new bot down the line.;SAMPLE TEXT 2414

GBC_NPC_SMELTERVICTORY_808_F;;SAMPLE TEXT 2415

GBC_NPC_SMELTERVICTORY_992_M;[t:0.5][e:Surprise][c:R]NO NO NO NO[shake:1][end];SAMPLE TEXT 2416

GBC_NPC_SMELTERVICTORY_992_F;;SAMPLE TEXT 2417

GBC_NPC_SMELTERVICTORY_379_M;[t:0.5]HAHAHAHA![t:1][w:0.5][shake:1] YES![w:0.3] FOR P03!;SAMPLE TEXT 2418

GBC_NPC_SMELTERVICTORY_379_F;;SAMPLE TEXT 2419

GBC_NPC_DREDGERGREETING_650_M;Oy,[w:0.3] mate.[w:0.3] I know what yer 'ere for.;SAMPLE TEXT 2420

GBC_NPC_DREDGERGREETING_650_F;Oy,[w:0.3] mate.[w:0.3] I know what yer 'ere for.;SAMPLE TEXT 2421

GBC_NPC_DREDGERGREETING_162_M;Yer askin' me to take a dive.[w:0.3];SAMPLE TEXT 2422

GBC_NPC_DREDGERGREETING_162_F;;SAMPLE TEXT 2423

GBC_NPC_DREDGERGREETING_993_M;But I can't accommodate ye, mate.[w:0.3];SAMPLE TEXT 2424

GBC_NPC_DREDGERGREETING_993_F;But I can't accommodate ye, mate.[w:0.3];SAMPLE TEXT 2425

GBC_NPC_DREDGERGREETING_481_M;Got special orders,[w:0.3] innit?[w:0.3] Lookin' to dredge somefin' special.;SAMPLE TEXT 2426

GBC_NPC_DREDGERGREETING_481_F;;SAMPLE TEXT 2427

GBC_NPC_DREDGERGREETING_785_M;We can duel.[w:0.3] Aye.[w:0.3] Maybe even give ye somefin' if ye win.;SAMPLE TEXT 2428

GBC_NPC_DREDGERGREETING_785_F;;SAMPLE TEXT 2429

GBC_NPC_DREDGERGREETING_706_M;But I can't be takin' a dive.[w:0.3] P03 will unnerstan'.;SAMPLE TEXT 2430

GBC_NPC_DREDGERGREETING_706_F;;SAMPLE TEXT 2431

GBC_NPC_DREDGERGREETING_REPEAT_#1_168_M;Oy,[w:0.3] ye wan't a rematch?;SAMPLE TEXT 2432

GBC_NPC_DREDGERGREETING_REPEAT_#1_168_F;;SAMPLE TEXT 2433

GBC_NPC_DREDGERGREETING_REPEAT_#1_213_M;I unnerstan'.;SAMPLE TEXT 2434

GBC_NPC_DREDGERGREETING_REPEAT_#1_213_F;;SAMPLE TEXT 2435

GBC_NPC_DREDGERGREETING_REPEAT_#2_016_M;Yer not thinkin' ye can get me to jump?;SAMPLE TEXT 2436

GBC_NPC_DREDGERGREETING_REPEAT_#2_016_F;;SAMPLE TEXT 2437

GBC_NPC_DREDGERGREETING_REPEAT_#2_467_M;Nofin' you say or do can change me mind.;SAMPLE TEXT 2438

GBC_NPC_DREDGERGREETING_REPEAT_#2_467_F;;SAMPLE TEXT 2439

GBC_NPC_DREDGERDEFEAT_891_M;Right,[w:0.3] right.[w:0.3] Off with ye now.;SAMPLE TEXT 2440

GBC_NPC_DREDGERDEFEAT_891_F;;SAMPLE TEXT 2441

GBC_NPC_DREDGERDEFEAT_REPEAT_#1_522_M;Off with ye now.;SAMPLE TEXT 2442

GBC_NPC_DREDGERDEFEAT_REPEAT_#1_522_F;;SAMPLE TEXT 2443

GBC_NPC_DREDGERDEFEAT_REPEAT_#2_644_M;Enough of this now,[w:0.3] mate.;SAMPLE TEXT 2444

GBC_NPC_DREDGERDEFEAT_REPEAT_#2_644_F;Enough of this now,[w:0.3] mate.;SAMPLE TEXT 2445

GBC_NPC_DREDGERDEFEAT_REPEAT_#3_460_M;Lotta distractions,[w:0.3] eh mate?;SAMPLE TEXT 2446

GBC_NPC_DREDGERDEFEAT_REPEAT_#3_460_F;Lotta distractions,[w:0.3] eh mate?;SAMPLE TEXT 2447

GBC_NPC_DREDGERDEFEAT_REPEAT_#3_688_M;Nofin' against yer deck but,[w:0.3] might not be up to the task.;SAMPLE TEXT 2448

GBC_NPC_DREDGERDEFEAT_REPEAT_#3_688_F;;SAMPLE TEXT 2449

GBC_NPC_DREDGERVICTORY_108_M;ere.[w:0.3] Take yer pack.;SAMPLE TEXT 2450

GBC_NPC_DREDGERVICTORY_108_F;;SAMPLE TEXT 2451

GBC_NPC_DREDGERVICTORY_REPEAT_#2_709_M;Still somefin' yer after?[w:0.3] I gave ye yer pack.;SAMPLE TEXT 2452

GBC_NPC_DREDGERVICTORY_REPEAT_#2_709_F;;SAMPLE TEXT 2453

GBC_NPC_DREDGERVICTORY_REPEAT_#3_843_M;Geroff.;SAMPLE TEXT 2454

GBC_NPC_DREDGERVICTORY_REPEAT_#3_843_F;;SAMPLE TEXT 2455

GBC_NPC_P03GBCGREETING_080_M;The bots haven't gotten much better...[w:0.3] But you battled all of my workers?[w:0.3] And you actually won?;SAMPLE TEXT 2456

GBC_NPC_P03GBCGREETING_080_F;;SAMPLE TEXT 2457

GBC_NPC_P03GBCGREETING_523_M;Gimme that deck again.;SAMPLE TEXT 2458

GBC_NPC_P03GBCGREETING_523_F;;SAMPLE TEXT 2459

GBC_NPC_P03GBCGREETING_412_M;Wow...[w:0.3] you beat them with[w:0.4] that?[w:0.3] Alright.;SAMPLE TEXT 2460

GBC_NPC_P03GBCGREETING_412_F;;SAMPLE TEXT 2461

GBC_NPC_P03GBCGREETING_478_M;Maybe there are some synergies that I missed.[w:0.3] Let's go then.;SAMPLE TEXT 2462

GBC_NPC_P03GBCGREETING_478_F;;SAMPLE TEXT 2463

GBC_NPC_P03GBCGREETING_REPEAT_#1_969_M;The old Dredger wouldn't hop on the line?;SAMPLE TEXT 2464

GBC_NPC_P03GBCGREETING_REPEAT_#1_969_F;;SAMPLE TEXT 2465

GBC_NPC_P03GBCGREETING_REPEAT_#1_169_M;[shake:0.8][e:Quiet]Do not worry. That is acceptable.;SAMPLE TEXT 2466

GBC_NPC_P03GBCGREETING_REPEAT_#1_169_F;;SAMPLE TEXT 2467

GBC_NPC_P03GBCGREETING_REPEAT_#1_840_M;Another battle?;SAMPLE TEXT 2468

GBC_NPC_P03GBCGREETING_REPEAT_#1_840_F;;SAMPLE TEXT 2469

GBC_NPC_P03GBCGREETING_REPEAT_#2_257_M;Again?;SAMPLE TEXT 2470

GBC_NPC_P03GBCGREETING_REPEAT_#2_257_F;;SAMPLE TEXT 2471

GBC_NPC_P03GBCDEFEAT_243_M;You opened the crates around the temple right?;SAMPLE TEXT 2472

GBC_NPC_P03GBCDEFEAT_243_F;;SAMPLE TEXT 2473

GBC_NPC_P03GBCDEFEAT_739_M;You need better cards.;SAMPLE TEXT 2474

GBC_NPC_P03GBCDEFEAT_739_F;;SAMPLE TEXT 2475

GBC_NPC_P03GBCDEFEAT_REPEAT_#1_270_M;A bad deck[w:0.3] with a bad pilot.;SAMPLE TEXT 2476

GBC_NPC_P03GBCDEFEAT_REPEAT_#1_270_F;A bad deck[w:0.3] with a bad pilot.;SAMPLE TEXT 2477

GBC_NPC_P03GBCDEFEAT_REPEAT_#1_655_M;You don't expect to win that way,[w:0.3] do you?;SAMPLE TEXT 2478

GBC_NPC_P03GBCDEFEAT_REPEAT_#1_655_F;;SAMPLE TEXT 2479

GBC_NPC_P03GBCDEFEAT_REPEAT_#2_738_M;You made a huge misplay on turn 2 that cost you the game.;SAMPLE TEXT 2480

GBC_NPC_P03GBCDEFEAT_REPEAT_#2_738_F;;SAMPLE TEXT 2481

GBC_NPC_P03GBCDEFEAT_REPEAT_#3_593_M;I think it's your poor resource economy that's killing you.;SAMPLE TEXT 2482

GBC_NPC_P03GBCDEFEAT_REPEAT_#3_593_F;;SAMPLE TEXT 2483

GBC_NPC_P03GBCDEFEAT_REPEAT_#4_023_M;Just...[w:0.3] get better cards.;SAMPLE TEXT 2484

GBC_NPC_P03GBCDEFEAT_REPEAT_#4_023_F;;SAMPLE TEXT 2485

GBC_BATTLE_DREDGERSURRENDER_830_M;Know what,[w:0.3] mate,[w:0.3] can't take me eyes off me work 'ere.;SAMPLE TEXT 2486

GBC_BATTLE_DREDGERSURRENDER_830_F;Know what,[w:0.3] mate,[w:0.3] can't take me eyes off me work 'ere.;SAMPLE TEXT 2487

GBC_BATTLE_DREDGERSURRENDER_939_M;I'll give ye this 'un.;SAMPLE TEXT 2488

GBC_BATTLE_DREDGERSURRENDER_939_F;;SAMPLE TEXT 2489

GBC_NPC_DREDGERVICTORY2_701_M;Now off with ye.[w:0.2] I need'a concentrate.;SAMPLE TEXT 2490

GBC_NPC_DREDGERVICTORY2_701_F;;SAMPLE TEXT 2491

GBC_NPC_DREDGERVICTORY2_982_M;[c:R][shake:1]OY![w:1][c:][w:0.3] is that[w:0.3]...?;SAMPLE TEXT 2492

GBC_NPC_DREDGERVICTORY2_982_F;;SAMPLE TEXT 2493

GBC_NPC_DREDGERVICTORY2_192_M;[c:F][t:1]P03's gonna reward me BIG for this 'un.;SAMPLE TEXT 2494

GBC_NPC_DREDGERVICTORY2_192_F;;SAMPLE TEXT 2495

GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_746_M;Oh.[w:0.4] Scanner's online.[w:0.4] Which card to scan...;SAMPLE TEXT 2496

GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_746_F;;SAMPLE TEXT 2497

GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_915_M;[t:1]Just kidding.[w:0.3][t:5] Obviously the one with the best stats.;SAMPLE TEXT 2498

GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_915_F;;SAMPLE TEXT 2499

GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_REPEAT_#1_741_M;Scanning time.[w:0.4] Show me your biggest creature.;SAMPLE TEXT 2500

GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_REPEAT_#1_741_F;;SAMPLE TEXT 2501

GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_REPEAT_#2_082_M;Scanner's online.[w:0.3] Let's see...[w:0.3] what has the best stats.;SAMPLE TEXT 2502

GBC_BATTLE_P03BOSSPRESCANNERCHOOSE_REPEAT_#2_082_F;;SAMPLE TEXT 2503

GBC_BATTLE_P03BOSSSCAN1_088_M;The stat line could be better.;SAMPLE TEXT 2504

GBC_BATTLE_P03BOSSSCAN1_088_F;;SAMPLE TEXT 2505

GBC_BATTLE_P03BOSSSCAN1_REPEAT_#1_305_M;Looks like this is the one...;SAMPLE TEXT 2506

GBC_BATTLE_P03BOSSSCAN1_REPEAT_#1_305_F;;SAMPLE TEXT 2507

GBC_BATTLE_P03BOSSSCAN1_REPEAT_#2_013_M;Not too bad of a stat line I suppose.;SAMPLE TEXT 2508

GBC_BATTLE_P03BOSSSCAN1_REPEAT_#2_013_F;;SAMPLE TEXT 2509

GBC_BATTLE_P03BOSSSCAN1_REPEAT_#3_551_M;I hoped you would have played something better...;SAMPLE TEXT 2510

GBC_BATTLE_P03BOSSSCAN1_REPEAT_#3_551_F;;SAMPLE TEXT 2511

GBC_BATTLE_P03BOSSSCAN2_472_M;Your move.;SAMPLE TEXT 2512

GBC_BATTLE_P03BOSSSCAN2_472_F;;SAMPLE TEXT 2513

GBC_BATTLE_P03BOSSSCAN2_REPEAT_#1_303_M;This could work.;SAMPLE TEXT 2514

GBC_BATTLE_P03BOSSSCAN2_REPEAT_#1_303_F;;SAMPLE TEXT 2515

GBC_BATTLE_P03BOSSSCAN2_REPEAT_#2_238_M;Your go.;SAMPLE TEXT 2516

GBC_BATTLE_P03BOSSSCAN2_REPEAT_#2_238_F;;SAMPLE TEXT 2517

GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_177_M;[t:1]Oh.[w:0.3] [t:5]You've only given me one choice...;SAMPLE TEXT 2518

GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_177_F;;SAMPLE TEXT 2519

GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_REPEAT_#1_164_M;Oh.[w:0.3] There's[w:0.3] just one...;SAMPLE TEXT 2520

GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_REPEAT_#1_164_F;;SAMPLE TEXT 2521

GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_REPEAT_#2_769_M;Scanner's online.[w:0.3] What have we got here?;SAMPLE TEXT 2522

GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_REPEAT_#2_769_F;;SAMPLE TEXT 2523

GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_REPEAT_#2_365_M;You only left me one thing to scan?;SAMPLE TEXT 2524

GBC_BATTLE_P03BOSSPRESCANNERNOCHOICE_REPEAT_#2_365_F;;SAMPLE TEXT 2525

GBC_BATTLE_P03BOSSSCANNONE_451_M;Wow.;SAMPLE TEXT 2526

GBC_BATTLE_P03BOSSSCANNONE_451_F;;SAMPLE TEXT 2527

GBC_BATTLE_P03BOSSSCANNONE_149_M;You've left me nothing to scan whatsoever.;SAMPLE TEXT 2528

GBC_BATTLE_P03BOSSSCANNONE_149_F;;SAMPLE TEXT 2529

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_576_M;Oh...[w:0.3] Something's wrong.;SAMPLE TEXT 2530

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_576_F;;SAMPLE TEXT 2531

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_932_M;It's your deck.[w:0.3] Or,[w:0.3] rather,[w:0.3] your lack of a valid one.;SAMPLE TEXT 2532

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_932_F;;SAMPLE TEXT 2533

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_305_M;You've got 20 cards in it,[w:0.3] right?;SAMPLE TEXT 2534

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_305_F;;SAMPLE TEXT 2535

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#1_673_M;Hmm.[w:0.3] Your deck isn't right.;SAMPLE TEXT 2536

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#1_673_F;;SAMPLE TEXT 2537

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#1_499_M;You did add enough cards to it,[w:0.3] right?;SAMPLE TEXT 2538

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#1_499_F;;SAMPLE TEXT 2539

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#1_177_M;20 should do.;SAMPLE TEXT 2540

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#1_177_F;;SAMPLE TEXT 2541

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#2_285_M;You...[w:0.3] don't have enough cards in your deck.;SAMPLE TEXT 2542

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#2_285_F;;SAMPLE TEXT 2543

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#2_323_M;You need 20.;SAMPLE TEXT 2544

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#2_323_F;;SAMPLE TEXT 2545

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#3_786_M;Oh.[w:0.3] Looks like we can't battle now.;SAMPLE TEXT 2546

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#3_786_F;;SAMPLE TEXT 2547

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#3_895_M;You're going to need to get that deck fixed.;SAMPLE TEXT 2548

GBC_NPC_GBCNPCINVALIDDECKDEFAULT_REPEAT_#3_895_F;;SAMPLE TEXT 2549

GBC_NPC_GHOULROYALINVALIDDECK_488_M;Arrr..[w:0.3] Something be wrong.;SAMPLE TEXT 2550

GBC_NPC_GHOULROYALINVALIDDECK_488_F;;SAMPLE TEXT 2551

GBC_NPC_GHOULROYALINVALIDDECK_133_M;Yer deck.[w:0.3] T'ain't right.;SAMPLE TEXT 2552

GBC_NPC_GHOULROYALINVALIDDECK_133_F;;SAMPLE TEXT 2553

GBC_NPC_GHOULROYALINVALIDDECK_148_M;Return when ye've got 20 cards in it.;SAMPLE TEXT 2554

GBC_NPC_GHOULROYALINVALIDDECK_148_F;;SAMPLE TEXT 2555

GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#1_116_M;Hark![w:0.3] Yer deck again.;SAMPLE TEXT 2556

GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#1_116_F;;SAMPLE TEXT 2557

GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#1_891_M;Ye did add cards to it,[w:0.3] aye?;SAMPLE TEXT 2558

GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#1_891_F;;SAMPLE TEXT 2559

GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#1_368_M;20 er so?;SAMPLE TEXT 2560

GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#1_368_F;;SAMPLE TEXT 2561

GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#2_101_M;Hark...[w:0.3] Ye don't have enough cards in yer deck.;SAMPLE TEXT 2562

GBC_NPC_GHOULROYALINVALIDDECK_REPEAT_#2_101_F;;SAMPLE TEXT 2563

GBC_NPC_ANGLERNPCINVALIDDECK_712_M;Deck bad.;SAMPLE TEXT 2564

GBC_NPC_ANGLERNPCINVALIDDECK_712_F;;SAMPLE TEXT 2565

GBC_NPC_ANGLERNPCINVALIDDECK_742_M;Need cards.[w:0.3] 20.;SAMPLE TEXT 2566

GBC_NPC_ANGLERNPCINVALIDDECK_742_F;;SAMPLE TEXT 2567

GBC_NPC_PROSPECTORNPCINVALIDDECK_890_M;Well darn it all.[w:0.3] Yer deck ain't right!;SAMPLE TEXT 2568

GBC_NPC_PROSPECTORNPCINVALIDDECK_890_F;;SAMPLE TEXT 2569

GBC_NPC_PROSPECTORNPCINVALIDDECK_467_M;Git ye at least 20 cards 'n it!;SAMPLE TEXT 2570

GBC_NPC_PROSPECTORNPCINVALIDDECK_467_F;;SAMPLE TEXT 2571

GBC_NPC_PROSPECTORNPCINVALIDDECK_REPEAT_#1_133_M;Dag nab it.[w:0.3] Yer deck still ain't right.;SAMPLE TEXT 2572

GBC_NPC_PROSPECTORNPCINVALIDDECK_REPEAT_#1_133_F;;SAMPLE TEXT 2573

GBC_NPC_PROSPECTORNPCINVALIDDECK_REPEAT_#1_006_M;At least 20 cards 'n it.[w:0.3] That oughtta do...;SAMPLE TEXT 2574

GBC_NPC_PROSPECTORNPCINVALIDDECK_REPEAT_#1_006_F;;SAMPLE TEXT 2575

GBC_NPC_TRAPPERNPCINVALIDDECK_115_M;Your deck doesn't have enough cards.[w:0.3] A shame,[w:0.1] that.;SAMPLE TEXT 2576

GBC_NPC_TRAPPERNPCINVALIDDECK_115_F;;SAMPLE TEXT 2577

GBC_NPC_TRAPPERNPCINVALIDDECK_REPEAT_#1_472_M;Your deck...[w:0.3] it needs at least 20 cards.;SAMPLE TEXT 2578

GBC_NPC_TRAPPERNPCINVALIDDECK_REPEAT_#1_472_F;;SAMPLE TEXT 2579

GBC_NPC_TRAPPERNPCINVALIDDECK_REPEAT_#2_496_M;Fix your deck up.;SAMPLE TEXT 2580

GBC_NPC_TRAPPERNPCINVALIDDECK_REPEAT_#2_496_F;;SAMPLE TEXT 2581

GBC_NPC_WIZARDBLUEINVALIDDECK_513_M;[t:1]Oh no.[w:0.3] [c:R][w:1][shake:1]N[w:0.3][shake:1]O[w:0.3][shake:1]O[w:0.3][shake:1]O![w:0.4][t:0][c:];SAMPLE TEXT 2582

GBC_NPC_WIZARDBLUEINVALIDDECK_513_F;;SAMPLE TEXT 2583

GBC_NPC_WIZARDBLUEINVALIDDECK_429_M;[t:1]Your deck is invalid.;SAMPLE TEXT 2584

GBC_NPC_WIZARDBLUEINVALIDDECK_429_F;;SAMPLE TEXT 2585

GBC_NPC_WIZARDBLUEINVALIDDECK_167_M;[t:1]You don't have enough cards in it.;SAMPLE TEXT 2586

GBC_NPC_WIZARDBLUEINVALIDDECK_167_F;;SAMPLE TEXT 2587

GBC_NPC_WIZARDBLUEINVALIDDECK_095_M;[t:1]Please.[w:0.3] Rectify this!;SAMPLE TEXT 2588

GBC_NPC_WIZARDBLUEINVALIDDECK_095_F;;SAMPLE TEXT 2589

GBC_NPC_WIZARDBLUEINVALIDDECK_REPEAT_#1_588_M;[t:1]You don't have enough cards in your deck.;SAMPLE TEXT 2590

GBC_NPC_WIZARDBLUEINVALIDDECK_REPEAT_#1_588_F;;SAMPLE TEXT 2591

GBC_NPC_WIZARDBLUEINVALIDDECK_REPEAT_#1_921_M;[t:1]Please.[w:0.3] Please.[w:0.3] Rectify this!;SAMPLE TEXT 2592

GBC_NPC_WIZARDBLUEINVALIDDECK_REPEAT_#1_921_F;;SAMPLE TEXT 2593

GBC_NPC_DUMMYNPCINVALIDDECK_261_M;Somehow, in its lifelessness, the dummy looks disappointed.;SAMPLE TEXT 2594

GBC_NPC_DUMMYNPCINVALIDDECK_261_F;;SAMPLE TEXT 2595

GBC_NPC_DUMMYNPCINVALIDDECK_035_M;You don't have enough cards in your deck.;SAMPLE TEXT 2596

GBC_NPC_DUMMYNPCINVALIDDECK_035_F;;SAMPLE TEXT 2597

GBC_NPC_DREDGERINVALIDDECK_539_M;Somefin' wrong with yer deck, mate.;SAMPLE TEXT 2598

GBC_NPC_DREDGERINVALIDDECK_539_F;Somefin' wrong with yer deck, mate.;SAMPLE TEXT 2599

GBC_NPC_DREDGERINVALIDDECK_453_M;Lackin' a few cards by the look of 'er.;SAMPLE TEXT 2600

GBC_NPC_DREDGERINVALIDDECK_453_F;;SAMPLE TEXT 2601

GBC_NPC_DREDGERINVALIDDECK_REPEAT_#1_069_M;Lackin' a few cards in yer deck, mate.;SAMPLE TEXT 2602

GBC_NPC_DREDGERINVALIDDECK_REPEAT_#1_069_F;Lackin' a few cards in yer deck, mate.;SAMPLE TEXT 2603

